mobile_name,price,rating,reviews,features,link
Samsung,₹24999,4.3 out of 5 stars,NA,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQyNDA2Mjg5NDQ1MTAzOjE3NzI3ODE2OTU6c3BfbXRmOjMwMDU0MjE3MDMxODgzMjo6MDo6&url=%2FSamsung-Slimmest-Enhanced-Nightography-Processor%2Fdp%2FB0F43W6V6J%2Fref%3Dsr_1_11_sspa%3Fadgrpid%3D59669252100%26dib%3DeyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c%26dib_tag%3Dse%26ext_vrnc%3Dhi%26hvadid%3D714703501830%26hvdev%3Dc%26hvlocphy%3D9062129%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D5358111084222879881%26hvtargid%3Dkwd-389585526667%26hydadcr%3D25224_2856613%26keywords%3Damazon%2Boppo%2Bmobiles%26mcid%3Dfff1236c109c399bb3a8ea221d9044df%26qid%3D1772781695%26sr%3D8-11-spons%26aref%3DJzN9y2RFWe%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=JzN9y2RFWe&sp_cr=ZAZ
OnePlus,₹33999,4.4 out of 5 stars,NA,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQyNDA2Mjg5NDQ1MTAzOjE3NzI3ODE2OTU6c3BfbXRmOjMwMDYxOTc3MTE1MDgzMjo6MDo6&url=%2FOnePlus-Snapdragon-Flagship-Powered-Phantom%2Fdp%2FB0FCML66W9%2Fref%3Dsr_1_12_sspa%3Fadgrpid%3D59669252100%26dib%3DeyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c%26dib_tag%3Dse%26ext_vrnc%3Dhi%26hvadid%3D714703501830%26hvdev%3Dc%26hvlocphy%3D9062129%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D5358111084222879881%26hvtargid%3Dkwd-389585526667%26hydadcr%3D25224_2856613%26keywords%3Damazon%2Boppo%2Bmobiles%26mcid%3Dfff1236c109c399bb3a8ea221d9044df%26qid%3D1772781695%26sr%3D8-12-spons%26aref%3DyCW449p8hO%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=yCW449p8hO&sp_cr=ZAZ
OPPO,₹18499,4.4 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-K13-5G-Prism-Storage/dp/B0F8W2D943/ref=sr_1_13?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-13
OPPO,₹34999,4.3 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-Festival-Pink-256GB-Storage/dp/B0FP8QJBGN/ref=sr_1_14?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-14
OPPO,₹24999,3.6 out of 5 stars,NA,NA,https://www.amazon.in/256GB-Storage-Additional-Exchange-Offers/dp/B0G8Y52PXT/ref=sr_1_15?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-15
OPPO,₹48999,4.4 out of 5 stars,NA,NA,https://www.amazon.in/Reno15-Twilight-Storage-Additional-Exchange/dp/B0G8XGVQ69/ref=sr_1_16?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-16
OPPO,₹21999,NA,NA,NA,https://www.amazon.in/Sapphire-Storage-Additional-Exchange-Offers/dp/B0GGZPMTPX/ref=sr_1_17?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-17
OPPO,₹20989,4.4 out of 5 stars,NA,NA,https://www.amazon.in/Oppo-K13-5G-Prism-Storage/dp/B0F8W1SNVP/ref=sr_1_18?adgrpid=59669252100&dib=eyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c&dib_tag=se&ext_vrnc=hi&hvadid=714703501830&hvdev=c&hvlocphy=9062129&hvnetw=g&hvqmt=e&hvrand=5358111084222879881&hvtargid=kwd-389585526667&hydadcr=25224_2856613&keywords=amazon+oppo+mobiles&mcid=fff1236c109c399bb3a8ea221d9044df&qid=1772781695&sr=8-18
Redmi,₹8999,4.0 out of 5 stars,NA,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQyNDA2Mjg5NDQ1MTAzOjE3NzI3ODE2OTU6c3BfYnRmOjMwMDYyMjc4ODE4ODYzMjo6MDo6&url=%2FRedmi-Pondicherry-Smoothest-Protection-expandable%2Fdp%2FB0F3P4D4R3%2Fref%3Dsr_1_19_sspa%3Fadgrpid%3D59669252100%26dib%3DeyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c%26dib_tag%3Dse%26ext_vrnc%3Dhi%26hvadid%3D714703501830%26hvdev%3Dc%26hvlocphy%3D9062129%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D5358111084222879881%26hvtargid%3Dkwd-389585526667%26hydadcr%3D25224_2856613%26keywords%3Damazon%2Boppo%2Bmobiles%26mcid%3Dfff1236c109c399bb3a8ea221d9044df%26qid%3D1772781695%26sr%3D8-19-spons%26aref%3D9r6mnArM4O%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=9r6mnArM4O&sp_cr=ZAZ
realme,₹33999,4.3 out of 5 stars,NA,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTQyNDA2Mjg5NDQ1MTAzOjE3NzI3ODE2OTU6c3BfYnRmOjMwMDY0Mjc1OTA2OTIzMjo6MDo6&url=%2Frealme-Smartphone-HyperGlow-SuperVOOC-Snapdragon%2Fdp%2FB0FJL97NZX%2Fref%3Dsr_1_20_sspa%3Fadgrpid%3D59669252100%26dib%3DeyJ2IjoiMSJ9.fMtTcvzhO2mnkE5nWfa2tOVnYOPjxHPcoej4HFiwlRzF5uTeU__Pchs_bv44aXtiLDNK4MhoXUhr8nxchEJgdSjNsUZHQdjbp3cwJOO3Q6tYH8W3ejegRDEUKHcj93fPRB5FZ6WidqXy-Fq4aeDLEXlGdb6iWIppj1LT1YhqLGqC5zXh5hL_usel5G782mr6bZN8etE3zDjggLlFmvLgTcy0rDc5jX0KV89_woJmoHM.MS6uAVIPGhRcyZ8p9kWY3JP-OLNiV6KqQGcXqCk8e1c%26dib_tag%3Dse%26ext_vrnc%3Dhi%26hvadid%3D714703501830%26hvdev%3Dc%26hvlocphy%3D9062129%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D5358111084222879881%26hvtargid%3Dkwd-389585526667%26hydadcr%3D25224_2856613%26keywords%3Damazon%2Boppo%2Bmobiles%26mcid%3Dfff1236c109c399bb3a8ea221d9044df%26qid%3D1772781695%26sr%3D8-20-spons%26aref%3D106Yn4Ce6z%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&aref=106Yn4Ce6z&sp_cr=ZAZ
Samsung,₹24999,4.3 out of 5 stars,NA,NA,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3Mjc5NTU3NzA0MzQ3Njc5OjE3NzI3ODE3MDQ6c3BfYXRmX25leHQ6MzAwNTQyMTcwMzE4ODMyOjowOjo&url=%2FSamsung-Slimmest-Enhanced-Nightography-Processor%2Fdp%2FB0F43W6V6J%2Fref%3Dsr_1_17_sspa%3Fadgrpid%3D59669252100%26dib%3DeyJ2IjoiMSJ9.9fe7_JpBNaWXTGudBA6_O4ZgtkTtVsEmEAYnvL5EbbKHxo_IONnolMwC298_I2pcQ3becpI8J_q9ej7oX032Z5EarJf6VZV4KZSiVBCrNPQCWkxSJVD-IPY9BijnEddsob3OelRcg1lIVHp7lKSa0-64EvtYHyZp2I8D664aqdIqrWpr_jR4mfofnDAF8UHzL6MeWhazB006tO8_IVclOROrhWBRIiOHgpxnzEqCVkc.Z-pq4bUUhDT0zwzkbQ-Qe77efhG28B4I9R-ndogB3_U%26dib_tag%3Dse%26ext_vrnc%3Dhi%26hvadid%3D714703501830%26hvdev%3Dc%26hvlocphy%3D9062129%26hvnetw%3Dg%26hvqmt%3De%26hvrand%3D5358111084222879881%26hvtargid%3Dkwd-389585526667%26hydadcr%3D25224_2856613%26keywords%3Damazon%2Boppo%2Bmobiles%26mcid%3Dfff1236c109c399bb3a8ea221d9044df%26qid%3D1772781704%26sr%3D8-17-spons%26aref%3DJzN9y2RFWe%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=JzN9y2RFWe&sp_cr=ZAZ
